Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Hottest blocks;Random hottest guess;Random hit;Nested hottest guess;Nested hit;Predictor guess;Predictor hit;Profile guess;Profile hit;Benchmark link
automotive_bitcount;ntbl_bitcnt;12;3;4;673449048;775949048;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;13;3;4;393080325;485892825;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;14;3;4;416948847;507686347;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;15;3;4;422267846;511642846;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;16;3;4;424939115;513626615;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;17;3;4;425951292;514101292;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;18;3;4;425951292;514101292;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;19;3;4;425633923;513221423;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;20;3;4;424128242;511053242;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_qsort1;compare;1;3;4;0;148365384;"0;11";0;1;0;1;11;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
